iteration,seed,avg_ndcg,std_ndcg,min_ndcg,max_ndcg
0,42,0.4835594238268174,0.005325456414533905,0.47825934012993965,0.49343498575264494
1,43,0.48348233463296486,0.004289922823794174,0.4759470094220969,0.4884494604164126
2,44,0.4855465047938967,0.009491285806694342,0.4681023745891939,0.4955763328324213
3,45,0.4837314590590962,0.006496831793786918,0.47208294647882804,0.4908703285973101
4,46,0.4801310640938807,0.002135047596036169,0.4764426398586212,0.48308359623376784
5,47,0.4814865085620882,0.0040446493459465995,0.4766495458991411,0.48760088038642774
6,48,0.4838855468796224,0.0034035848575395605,0.47888286607198816,0.48839169429364687
7,49,0.48390805238575585,0.0049347057279223215,0.477952727854336,0.4917245898432556
8,50,0.48052980126460865,0.005239579875248286,0.4746812977281099,0.4892010804225794
9,51,0.4812186811021655,0.009310694405794337,0.46670856990027243,0.4928079535506359
10,52,0.4859878039605263,0.004275436930099079,0.47855724897251484,0.4919393009469909
11,53,0.48419170858213834,0.005274721490018319,0.4755887641092329,0.4908689983882131
12,54,0.4828498479377637,0.006452624083339035,0.4718963930609228,0.48852917265292806
13,55,0.48310921148260144,0.006876868232640789,0.47603744515557794,0.49466080281823926
14,56,0.4816936531148427,0.011131209244418669,0.46128880104076336,0.49440668213834743
15,57,0.48135819231299043,0.0032178791534358754,0.47797733168166473,0.485936516909851
16,58,0.48713643545502194,0.004786522412948156,0.47948795462695293,0.493386651763043
17,59,0.4867313814515676,0.005635843645931579,0.477602847204873,0.4926692191282088
18,60,0.48056572550555937,0.008963234731788158,0.4633119413913107,0.48948476237709815
19,61,0.47700263542304455,0.006382538308878283,0.47013363034773065,0.4854901887540544
20,62,0.4810265072981149,0.005118932279580588,0.4717718444358598,0.4857728186577716
21,63,0.48016995638374516,0.0069935580833629715,0.46798940348767354,0.4878423035862433
22,64,0.48615394637450704,0.006815037988247283,0.4731514603219119,0.49329397277792086
23,65,0.48589775156072984,0.0008249654333280894,0.48468732362756706,0.4868017161492649
24,66,0.48127355007863726,0.006850040271653806,0.4756272105847506,0.4946614304638164
25,67,0.4822542488178101,0.00432428912649331,0.4740812649829943,0.4866656568326635
26,68,0.48420090980659014,0.008216139017317624,0.4706170344939971,0.4962648214544299
27,69,0.4819853365677685,0.010744341315150879,0.4617988393997144,0.49347272278715754
28,70,0.4766385015071931,0.005751066495488298,0.4685227088769214,0.48489056957968596
29,71,0.4824257025433714,0.0037678557220280533,0.475789668718664,0.4861247811641249
30,72,0.484648122622953,0.009150678156341322,0.4725609509612925,0.4960646473773595
31,73,0.4781057828842468,0.005202803634784028,0.47187194357570855,0.4875236962007165
32,74,0.4821561151448475,0.005880595732826092,0.47219705903451414,0.48987662707360813
33,75,0.484053754925515,0.007277561590159257,0.4735509353989318,0.49215137961366495
34,76,0.4773147316119607,0.007213139258381889,0.46627626930953847,0.48646760057034516
35,77,0.48233473123666426,0.003068382986802352,0.47665037662732285,0.4850613586604983
36,78,0.48070687389465344,0.0033717509884328496,0.4752562047856331,0.48514600913597833
37,79,0.4835508939307184,0.004983751583582446,0.4767286375293867,0.4899405614037063
38,80,0.48413522506264056,0.007256461010409868,0.4710477664494043,0.4920323595890669
39,81,0.482461424996132,0.006501349100635377,0.4765621727660667,0.49280443327034845
40,82,0.4843504423794574,0.005859749848931724,0.4741696995947366,0.4918851231498751
41,83,0.4830395137175209,0.004514443126226727,0.4754184819756074,0.4872458448230533
42,84,0.47825534111348594,0.008206840419611831,0.463734791976889,0.48869100844354507
43,85,0.4833173360275647,0.0064257637741786935,0.47425716638093457,0.4924583948407445
44,86,0.4820757688813013,0.006454666868178043,0.47114389928455647,0.4898348038649309
45,87,0.48762038187533596,0.003841441899862104,0.48173786996430534,0.493664026765759
46,88,0.48510291107402204,0.006713609355836533,0.4780201816906073,0.4970712467042311
47,89,0.48350823550845823,0.005763524914073131,0.4763857501265915,0.49101157559548364
48,90,0.486646326913863,0.0041872668823864576,0.47891703479692793,0.49123399701776044
49,91,0.4792205756205883,0.004500892434817036,0.4726582802152984,0.48437492076018734
50,92,0.47949159719638584,0.0059526607746073525,0.46892164167612305,0.4850705273116275
51,93,0.48554431065391174,0.005926576226209493,0.47759801669013713,0.49576227719473076
52,94,0.48309673493520267,0.006672595932476923,0.4728805925695181,0.4931075230202978
53,95,0.48093418467058646,0.0048557960347881055,0.47364100884987137,0.4862458892176561
54,96,0.4866420878757382,0.004419136083317722,0.4798001294172547,0.4919034126033351
55,97,0.4810883583970901,0.005460936487783548,0.47314877072026584,0.48863675648996163
56,98,0.4823704164784277,0.004466402049151613,0.4756898172396719,0.4881357028738689
57,99,0.4816015906204837,0.005658342866165206,0.4731144784010279,0.4906508796223641
58,100,0.48090347410601453,0.005153155896385983,0.47103772414153045,0.48609968627634853
59,101,0.48115253278014125,0.007172765198178094,0.47103138746271334,0.49300657005343135
60,102,0.4831646205275776,0.004978163139156919,0.47378028938342276,0.48831256912051496
61,103,0.4789424493802035,0.005626416782050206,0.4702532876105686,0.486069082892532
62,104,0.4855516769148519,0.0060512569155507685,0.4736334307491332,0.4903741228332288
63,105,0.4840976708800163,0.009571998194602565,0.471605178987933,0.499723366959272
64,106,0.48238029315398334,0.0040081346625915944,0.47816031172560597,0.48854779609350896
65,107,0.48126893252115865,0.00935427469780251,0.46465841168028754,0.4909978133415148
66,108,0.47814363225501566,0.0030330599705669804,0.47414158560386066,0.4815705969597232
67,109,0.4830378971571336,0.008782889601748054,0.4723194080634562,0.4955390270219798
68,110,0.4801872715661525,0.00158306290025358,0.4771429112719977,0.4816384171717295
69,111,0.48155089202748885,0.005321882629465085,0.47584988986885085,0.4914793750604658
70,112,0.48403294233052707,0.003071032003268683,0.4801273705572068,0.4886465266502191
71,113,0.48408958389561274,0.005538722400837238,0.4775317124856438,0.4929477655717232
72,114,0.4787976498708992,0.007337350928676565,0.46899661849478724,0.4859863682900616
73,115,0.4807506267942375,0.0054892677262374425,0.47092169558285163,0.4874500790919874
74,116,0.483418807009504,0.005161952136478523,0.4742617907667422,0.489875604817202
75,117,0.48352743095680645,0.006157622658344173,0.4761601640366845,0.4932708907039438
76,118,0.4775924157355531,0.0071595620115827005,0.4703945472288998,0.4908147808833518
77,119,0.4831193024975988,0.005389100052830925,0.4761479904264468,0.49158379049040857
78,120,0.48329476958167045,0.006984400053341886,0.4755623159262355,0.4948537149222929
79,121,0.4747782317471484,0.010281374644246059,0.45804015384215224,0.48934620238145987
80,122,0.482011166215195,0.0067125700816405955,0.47376583416998796,0.4911813427891196
81,123,0.48101799337732365,0.00496900369724001,0.4721189585487817,0.48658390370266685
82,124,0.48310509550720504,0.006702025806425281,0.4739151847483873,0.4948352131897579
83,125,0.47634149048674174,0.003049780438958737,0.4718644858339925,0.48118804950822847
84,126,0.4818560195807381,0.0060998993900978175,0.4721018868931032,0.48952386881527743
85,127,0.48128958647843956,0.005034956500139689,0.4743545981956914,0.490060396646379
86,128,0.4859630087857097,0.004230220756825458,0.47898454781704564,0.49185686537406903
87,129,0.48231628779511404,0.0048051160198144295,0.47314094257816525,0.48685028049082496
88,130,0.48426570116606255,0.004898660822083669,0.47517621094837525,0.48927141173222854
89,131,0.4767401871722636,0.009377661990099635,0.46348851196107305,0.4866556986908429
90,132,0.48337873710281143,0.006247078896437471,0.47159695481228414,0.4894020114416098
91,133,0.4814861002740093,0.006571529500101123,0.47092834864427763,0.49108634377185456
92,134,0.48246205596655545,0.006426137602246811,0.4727470470116255,0.4880897638097676
93,135,0.48527601597763664,0.00716839193873212,0.47699179089233223,0.4934892324216387
94,136,0.4774119432322257,0.007811300245520831,0.46609319331707416,0.48538110025984466
95,137,0.48488126512397534,0.002997791630379505,0.48281127725792816,0.4906842697249245
96,138,0.4810843707287451,0.007067676493035846,0.4689323348666837,0.4884438253019538
97,139,0.47314493942706537,0.010091559946691529,0.4618504967793761,0.4871465386570933
