number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,state
15,0.4863476744394527,2025-06-12 14:11:21.225581,2025-06-12 14:17:23.931529,0 days 00:06:02.705948,0.8416598944304661,0.6452452858387832,0.024531404854460433,3,53,247,3.6959608413892505e-05,COMPLETE
16,0.5036136324733875,2025-06-12 14:17:23.932602,2025-06-12 14:22:39.068678,0 days 00:05:15.136076,0.9838126785644912,0.48531052438698613,0.03897803960375351,7,73,160,1.8900418624794987e-07,COMPLETE
17,0.5030609677826069,2025-06-12 14:22:39.069723,2025-06-12 14:27:32.416874,0 days 00:04:53.347151,0.9876188951280098,0.5371096747286316,0.11492193470339059,9,74,99,1.590385928190313e-05,COMPLETE
18,0.499018719318553,2025-06-12 14:27:32.417932,2025-06-12 14:32:37.623920,0 days 00:05:05.205988,0.5004199550954047,0.7375077142152049,0.04584727462143049,5,99,151,6.031203619565586e-07,COMPLETE
19,0.4998115320580846,2025-06-12 14:32:37.624998,2025-06-12 14:38:27.413505,0 days 00:05:49.788507,0.6534736514971256,0.9590900920882007,0.013977087341011527,6,84,179,0.00013758415899748697,COMPLETE
20,0.5060328868459115,2025-06-12 14:38:27.414614,2025-06-12 14:43:44.901251,0 days 00:05:17.486637,0.9274585480563934,0.7801697335381936,0.05900348751092309,10,68,90,7.569741904892035e-08,COMPLETE
21,0.505271711886091,2025-06-12 14:43:44.902289,2025-06-12 14:48:51.695153,0 days 00:05:06.792864,0.9235246632908252,0.7686523272431448,0.0636269820034346,11,69,92,8.093609733700225e-08,COMPLETE
22,0.504510169208645,2025-06-12 14:48:51.696186,2025-06-12 14:53:52.081790,0 days 00:05:00.385604,0.9112474298070004,0.7790635511957759,0.08909856000651915,11,64,97,2.168362939423329e-06,COMPLETE
23,0.5047766109509549,2025-06-12 14:53:52.082825,2025-06-12 14:59:07.413790,0 days 00:05:15.330965,0.9256091444268645,0.8729762604683292,0.05839397066422398,11,90,78,7.99868389488435e-08,COMPLETE
24,0.5009451076558484,2025-06-12 14:59:07.414830,2025-06-12 15:03:52.902983,0 days 00:04:45.488153,0.7358125313213919,0.6874577274354533,0.13967097615308546,12,55,130,6.543063331930191e-08,COMPLETE
25,0.5063668560850549,2025-06-12 15:03:52.904039,2025-06-12 15:09:04.499838,0 days 00:05:11.595799,0.8662372897311573,0.9228128797963027,0.05942620448385174,10,68,88,7.835391410896971e-07,COMPLETE
26,0.49946199214888215,2025-06-12 15:09:04.500866,2025-06-12 15:13:45.642040,0 days 00:04:41.141174,0.7727742422101115,0.9480695353315196,0.17800564659938298,10,88,130,8.774431542458407e-07,COMPLETE
27,0.5046838295640705,2025-06-12 15:13:45.643057,2025-06-12 15:18:54.244587,0 days 00:05:08.601530,0.85512180894151,0.9199508046565841,0.04808441967774585,9,76,78,1.1550846248993316e-05,COMPLETE
28,0.4991931018352604,2025-06-12 15:18:54.245650,2025-06-12 15:24:29.015916,0 days 00:05:34.770266,0.45470717472367483,0.8972555396557516,0.034821602807385374,10,64,16,0.02793171343781806,COMPLETE
29,0.5022297501986314,2025-06-12 15:24:29.016952,2025-06-12 15:29:15.615727,0 days 00:04:46.598775,0.5978750415591608,0.8200841726643755,0.09083373524887993,12,58,123,5.652826811599994e-07,COMPLETE
30,0.5036244428149576,2025-06-12 15:29:15.616750,2025-06-12 15:34:46.821529,0 days 00:05:31.204779,0.5477829650421335,0.6517356310347178,0.020726002349981433,9,94,79,3.306796765885986e-08,COMPLETE
31,0.5051879853103325,2025-06-12 15:34:46.822615,2025-06-12 15:39:57.784735,0 days 00:05:10.962120,0.9198380196031593,0.7815954511037038,0.05857355417034972,11,69,105,2.270919838562631e-07,COMPLETE
32,0.504414037476625,2025-06-12 15:39:57.785797,2025-06-12 15:45:01.879545,0 days 00:05:04.093748,0.9405101323391963,0.8166577519821001,0.07389735187107951,11,68,83,6.308991089794538e-08,COMPLETE
33,0.5032505341960073,2025-06-12 15:45:01.880626,2025-06-12 15:50:20.227729,0 days 00:05:18.347103,0.8796372127997574,0.7393907372748585,0.05197785859742466,10,82,49,2.2125497898801804e-06,COMPLETE
34,0.5046132652209306,2025-06-12 15:50:20.228786,2025-06-12 15:56:03.732664,0 days 00:05:43.503878,0.953169832968699,0.8428804933485711,0.030593442279682574,12,76,55,2.1774372354447015e-07,COMPLETE
35,0.5046021912617932,2025-06-12 15:56:03.733720,2025-06-12 16:01:01.692211,0 days 00:04:57.958491,0.8129499134072904,0.8007910649634952,0.08509314232617628,11,78,116,1.0719717721957366e-08,COMPLETE
36,0.5047593062442338,2025-06-12 16:01:01.693476,2025-06-12 16:06:03.835876,0 days 00:05:02.142400,0.6901482878335538,0.5946231179498911,0.07087728426242343,9,49,135,6.4650654677959775e-06,COMPLETE
37,0.5027430939998931,2025-06-12 16:06:03.837180,2025-06-12 16:11:17.747216,0 days 00:05:13.910036,0.749826511098092,0.7193940893700805,0.05913198625721484,8,39,37,9.650554673574426,COMPLETE
38,0.5042757083696652,2025-06-12 16:11:17.748279,2025-06-12 16:17:53.721036,0 days 00:06:35.972757,0.8258580741422432,0.7594261264473631,0.014514615609667745,12,7,89,5.183183916708038e-07,COMPLETE
39,0.5033708126121026,2025-06-12 16:17:53.722106,2025-06-12 16:22:55.592846,0 days 00:05:01.870740,0.9998708260123215,0.8585217153308916,0.11665857500182011,10,87,168,0.3690137402672925,COMPLETE
40,0.5043022329863424,2025-06-12 16:22:55.593896,2025-06-12 16:28:29.071236,0 days 00:05:33.477340,0.8824554865838518,0.9153835014514848,0.03127039477342077,11,24,63,0.0002495346832039776,COMPLETE
41,0.5058482331066368,2025-06-12 16:28:29.072271,2025-06-12 16:33:36.824446,0 days 00:05:07.752175,0.922687514875246,0.7746844249335665,0.06064345709626579,11,70,109,1.7359320362083556e-07,COMPLETE
42,0.5048689824167591,2025-06-12 16:33:36.825509,2025-06-12 16:38:48.623376,0 days 00:05:11.797867,0.9630925055562588,0.7078629388714532,0.06747304468312317,12,68,110,4.797636334261467e-08,COMPLETE
